Instancia,Nodos,Modelo,Variables,Restricciones,Tiempo(s),Gap(%),Best Bound / Valor Objetivo
rbg323.atsp,323,MTZ,104652,104332,113.085,0,1326.0
rbg323.atsp,323,GG,208658,105620,64.672,0,1326.0
ftv70.atsp,71,MTZ,5112,5044,12.895,0,1950.0
ftv70.atsp,71,GG,10082,5324,5.977,0,1950.0
ftv64.atsp,65,MTZ,4290,4228,11.551,0,1839.0
ftv64.atsp,65,GG,8450,4484,3.479,0,1839.0
rbg403.atsp,403,MTZ,162812,162412,539.163,0,2465.0
rbg403.atsp,403,GG,324818,164020,119.542,0,2465.0
ry48p.atsp,48,MTZ,2352,2307,19.553,0.01,14422.0
ry48p.atsp,48,GG,4608,2495,8.233,0.01,14422.0
kro124p.atsp,100,MTZ,10100,10003,17.919,0.01,36230.0
kro124p.atsp,100,GG,20000,10399,86.889,0.01,36230.0
rbg358.atsp,358,MTZ,128522,128167,237.489,0,1163.0
rbg358.atsp,358,GG,256328,129595,71.385,0,1163.0
br17.atsp,17,MTZ,306,292,0.084,0,39.0
br17.atsp,17,GG,578,356,0.242,0,39.0
ftv33.atsp,34,MTZ,1190,1159,0.677,0,1286.0
ftv33.atsp,34,GG,2312,1291,0.81,0,1286.0000000000127
ftv35.atsp,36,MTZ,1332,1299,0.84,0,1473.0
ftv35.atsp,36,GG,2592,1439,0.785,0,1473.0
